Nome,Descricao,Estrelas,Forks,Ultima_Atualizacao,Linguagem_Principal,URL
allstar-config,,37,11,2025-06-16T11:38:26Z,,https://github.com/google/allstar-config
alu-api,,1,0,2025-04-02T08:26:20Z,Jupyter Notebook,https://github.com/google/alu-api
amber,Amber is a multi-API shader test framework,209,67,2025-06-19T16:45:04Z,C++,https://github.com/google/amber
amot,,3,1,2024-10-25T11:41:56Z,Shell,https://github.com/google/amot
amp-client-id-library,,11,13,2024-10-25T12:31:55Z,JavaScript,https://github.com/google/amp-client-id-library
amp-pwa-demo,"A simple, dependency-free blog that uses a Progressive Web App (PWA) to show Accellerated Mobile Pages (AMP).",113,33,2025-03-17T16:09:43Z,JavaScript,https://github.com/google/amp-pwa-demo
amp-toolbox, A collection of AMP tools making it easier to publish and host AMP pages. ,12,4,2025-03-17T16:09:30Z,JavaScript,https://github.com/google/amp-toolbox
amss,,50,28,2024-10-25T12:30:58Z,R,https://github.com/google/amss
amt-forensics,Retrieve Intel AMT's Audit Log from a Linux machine without knowing the admin user's password.,49,5,2025-03-14T13:24:11Z,Python,https://github.com/google/amt-forensics
analytics-audience-automation-tool,,8,4,2024-10-25T12:16:01Z,JavaScript,https://github.com/google/analytics-audience-automation-tool
analytics-settings-database,,56,10,2025-05-24T07:45:27Z,Python,https://github.com/google/analytics-settings-database
android-arscblamer,"ArscBlamer is a command-line tool that can parse an Android app's resources.arsc file and extract useful, actionable information about its contents",941,106,2025-05-19T23:43:13Z,Java,https://github.com/google/android-arscblamer
android-auto-companion-android,,25,8,2025-06-17T15:58:10Z,Kotlin,https://github.com/google/android-auto-companion-android
android-auto-companion-app,,15,1,2025-06-17T15:58:35Z,Dart,https://github.com/google/android-auto-companion-app
android-auto-companion-calendarsync-ios,,6,1,2025-06-17T15:59:19Z,Swift,https://github.com/google/android-auto-companion-calendarsync-ios
android-auto-companion-ios,,15,7,2025-06-17T15:58:23Z,Swift,https://github.com/google/android-auto-companion-ios
android-classyshark,Android and Java bytecode viewer,7578,870,2025-06-25T05:02:41Z,Java,https://github.com/google/android-classyshark
android-cuttlefish,Cuttlefish host support debian package.,501,155,2025-06-25T13:47:40Z,C++,https://github.com/google/android-cuttlefish
android-cuttlefish-authentication,,4,1,2024-12-04T00:37:16Z,Python,https://github.com/google/android-cuttlefish-authentication
android-emulator-container-scripts,,1970,277,2025-06-22T16:52:01Z,Python,https://github.com/google/android-emulator-container-scripts
android-emulator-hypervisor-driver,,823,257,2025-06-19T08:12:11Z,C,https://github.com/google/android-emulator-hypervisor-driver
android-emulator-m1-preview,,1856,162,2025-06-16T22:40:10Z,,https://github.com/google/android-emulator-m1-preview
android-emulator-webrtc,,144,41,2025-06-22T16:54:19Z,JavaScript,https://github.com/google/android-emulator-webrtc
android-fhir,"The Android FHIR SDK is a set of Kotlin libraries for building offline-capable, mobile-first healthcare applications using the HL7® FHIR® standard on Android.",543,310,2025-06-24T21:00:50Z,Kotlin,https://github.com/google/android-fhir
android-gradle-dsl,DSL reference for the Android plugin for Gradle.,787,107,2025-06-18T11:13:55Z,HTML,https://github.com/google/android-gradle-dsl
android-kerberos-authenticator,,30,9,2025-04-24T04:32:24Z,Java,https://github.com/google/android-kerberos-authenticator
android-key-attestation,Android Key Attestation validation library,201,69,2025-06-11T17:31:17Z,Java,https://github.com/google/android-key-attestation
android-lint-performance-probe,A tool to help pinpoint performance bottlenecks in individual Android Lint checks.,153,16,2025-05-26T15:28:07Z,Java,https://github.com/google/android-lint-performance-probe
android-management-api-samples,,33,22,2025-04-15T12:41:29Z,Jupyter Notebook,https://github.com/google/android-management-api-samples
android-riscv64,Issues and discussions around RISC-V support in AOSP.,236,15,2025-06-03T06:18:37Z,,https://github.com/google/android-riscv64
android-security-lints,Custom security-focused lint checks for Android development,148,9,2025-06-02T12:53:16Z,Kotlin,https://github.com/google/android-security-lints
android-studio-check,,14,11,2023-03-29T17:01:09Z,Java,https://github.com/google/android-studio-check
android-uiconductor,,127,24,2025-05-28T02:47:43Z,Java,https://github.com/google/android-uiconductor
android-wear-stitch-script,,39,18,2024-10-25T12:26:04Z,Python,https://github.com/google/android-wear-stitch-script
androiddevicesjs,,6,4,2024-10-25T12:20:22Z,TypeScript,https://github.com/google/androiddevicesjs
AndroidForegroundCompat,Backported view foreground support for Android 5.0+,65,6,2025-05-23T02:49:43Z,Java,https://github.com/google/AndroidForegroundCompat
angle,"A conformant OpenGL ES implementation for Windows, Mac, Linux, iOS and Android.",3715,661,2025-06-25T13:23:28Z,C++,https://github.com/google/angle
angular-a11y-workshop,,9,6,2024-10-25T12:16:58Z,TypeScript,https://github.com/google/angular-a11y-workshop
angular-directed-graph,,18,4,2024-10-29T13:48:41Z,TypeScript,https://github.com/google/angular-directed-graph
angular-sticky-element,,22,9,2024-10-25T12:31:32Z,TypeScript,https://github.com/google/angular-sticky-element
angular_cli,,63,21,2025-03-03T05:59:40Z,Dart,https://github.com/google/angular_cli
angular_node_bind.dart,Utilities to allow Angular templates to use Node.bind(),26,13,2024-10-25T12:21:17Z,Dart,https://github.com/google/angular_node_bind.dart
anonymous-counting-tokens,,20,1,2025-02-12T09:03:14Z,C++,https://github.com/google/anonymous-counting-tokens
anonymous-tokens,,46,14,2025-06-19T00:18:27Z,C++,https://github.com/google/anonymous-tokens
ansicolor-dart,,104,26,2025-06-19T19:36:47Z,Dart,https://github.com/google/ansicolor-dart
anthos-microk8s,,32,15,2025-05-23T17:50:16Z,HCL,https://github.com/google/anthos-microk8s
anvil-build,A parallel build system and content pipeline,58,15,2025-01-23T10:01:25Z,Python,https://github.com/google/anvil-build
aoss-django-sample-starter-project,"A simple “Hello-World” Django application written in Python, which downloads the required and available packages from Assured OSS and the rest non-available packages from Open Source.",6,2,2025-01-28T01:20:30Z,Shell,https://github.com/google/aoss-django-sample-starter-project
aoss-springboot-sample-starter-project,"A simple “Hello-World” SpringBoot application written in Java, which downloads the required and available packages from Assured OSS and the rest non-available packages from Open Source.",8,3,2025-05-03T01:29:13Z,Shell,https://github.com/google/aoss-springboot-sample-starter-project
aoss-verifier,A standalone tool to enable easy verification of the authenticity and integrity of OSS packages generated by the Assured OSS service and also support the verification of build provenance.,24,3,2024-10-25T11:41:25Z,Go,https://github.com/google/aoss-verifier
apdu,A Kotlin APDU parsing/serialization library with extended-length fields,9,2,2025-05-05T14:13:25Z,Kotlin,https://github.com/google/apdu
aperture_supervision,,33,15,2024-10-25T12:31:25Z,Python,https://github.com/google/aperture_supervision
apilark,,3,0,2025-03-26T16:52:24Z,,https://github.com/google/apilark
apis-client-generator,"The Google APIs Client Generator is a tool for generating client libraries for APIs based on the Google API Discovery format. It is based on the same core technology Google uses to publish their API libraries.  Current support is for C++, C#/.NET, Dart, Java, Java/GWT, and PHP.",161,51,2025-04-07T05:38:21Z,Python,https://github.com/google/apis-client-generator
apitools,,139,114,2025-05-21T14:43:49Z,Python,https://github.com/google/apitools
app-check,Google-internal core components of Firebase App Check.,23,1,2025-06-13T21:50:08Z,Objective-C,https://github.com/google/app-check
app-metadata-encoder,,5,0,2023-08-05T02:03:09Z,Java,https://github.com/google/app-metadata-encoder
app-resource-bundle,,149,16,2025-06-18T06:27:08Z,,https://github.com/google/app-resource-bundle
appengine-codiad,Codiad(Cloud IDE) on Google App Engine,39,30,2025-05-06T02:48:14Z,JavaScript,https://github.com/google/appengine-codiad
appengine-java-migration-samples,This repository houses the Java samples for a series of codelabs designed to help users on first-generation App Engine apps modernize to newer Cloud products and/or other serverless compute platforms.,1,2,2024-07-29T19:55:12Z,Java,https://github.com/google/appengine-java-migration-samples
appengine-jenkins,,36,25,2025-01-02T11:24:53Z,Shell,https://github.com/google/appengine-jenkins
appengine-phabricator,Image for running Phabricator on App Engine,19,15,2023-03-29T17:01:17Z,Shell,https://github.com/google/appengine-phabricator
appengine_xblock_runtime,,19,16,2023-03-29T17:01:17Z,Python,https://github.com/google/appengine_xblock_runtime
applied-computing-series,,14,12,2025-04-01T09:22:27Z,Python,https://github.com/google/applied-computing-series
applied-data-structures-algorithms,,25,9,2025-06-21T07:51:06Z,Jupyter Notebook,https://github.com/google/applied-data-structures-algorithms
applied-machine-learning-intensive,Applied Machine Learning Intensive,149,70,2025-04-26T18:07:50Z,Jupyter Notebook,https://github.com/google/applied-machine-learning-intensive
AppSpeedIndex,,13,6,2024-10-25T12:22:03Z,Python,https://github.com/google/AppSpeedIndex
apps_script_tools,Tools for writing Apps Scripts in the Dart programming language,26,7,2025-05-18T15:45:32Z,Dart,https://github.com/google/apps_script_tools
AppUpdateTrackerLib,,7,12,2023-09-08T17:07:09Z,Java,https://github.com/google/AppUpdateTrackerLib
apt-golang-s3,An s3 transport method for the apt package management system,48,14,2025-04-06T01:09:08Z,Go,https://github.com/google/apt-golang-s3
aqt,,318,28,2025-06-19T21:56:16Z,Python,https://github.com/google/aqt
arb-editor,A VS Code extension to help with .arb files used for translation messages in software.,55,7,2025-06-03T17:30:53Z,TypeScript,https://github.com/google/arb-editor
ARC-GEN,A Mimetic Procedural Benchmark Generator for the Abstraction and Reasoning Corpus,3,0,2025-05-29T17:00:30Z,Python,https://github.com/google/ARC-GEN
arc-jazzy-linter,A jazzy linter for use with Phabricator's arc command line tool.,18,4,2023-03-29T17:01:20Z,PHP,https://github.com/google/arc-jazzy-linter
arc-proselint,A proselint linter for use with Phabricator's arc command line tool.,17,11,2025-02-23T11:33:53Z,PHP,https://github.com/google/arc-proselint
arc-regex-line-length-linter,A configurable line length linter for use with Phabricator's arc command line tool.,8,8,2023-03-29T17:01:21Z,PHP,https://github.com/google/arc-regex-line-length-linter
arc-xcode-test-engine,An Xcode test engine for use with Phabricator's arc command line tool.,35,16,2025-04-22T09:06:55Z,PHP,https://github.com/google/arc-xcode-test-engine
archat,"ARChat Chrome Extension for CHI 2023 Papers (Visual Captions, Text Stability)",92,12,2025-02-23T09:33:32Z,TypeScript,https://github.com/google/archat
archive-patcher,Automatically exported from code.google.com/p/archive-patcher,539,74,2025-05-13T01:56:35Z,Java,https://github.com/google/archive-patcher
argh,Rust derive-based argument parsing optimized for code size,1809,89,2025-06-22T12:40:19Z,Rust,https://github.com/google/argh
argtail-check,,7,8,2024-10-25T12:01:51Z,Go,https://github.com/google/argtail-check
arithmancer,Logarithmic Market Scoring Rule Prediction Market,63,30,2025-02-09T02:22:04Z,Python,https://github.com/google/arithmancer
arm-gic,A Rust driver for the Arm Generic Interrupt Controller version 3 or 4 (GICv3 and GICv4).,33,9,2025-06-23T15:10:02Z,Rust,https://github.com/google/arm-gic
arolla,,20,11,2025-06-25T14:42:18Z,C++,https://github.com/google/arolla
array_record,,92,19,2025-06-25T13:14:31Z,C++,https://github.com/google/array_record
arrow-logo,,15,8,2024-10-25T12:14:04Z,Dart,https://github.com/google/arrow-logo
article-recommender,,11,4,2025-03-02T15:40:45Z,Python,https://github.com/google/article-recommender
ashier,Automating Terminal Interactions with Templates,29,15,2023-09-08T16:51:16Z,Python,https://github.com/google/ashier
aside,"🚀 Apps Script development with formatting, linting, testing and more!",365,10,2025-06-24T01:55:28Z,TypeScript,https://github.com/google/aside
asml,Application Security Maturity Levels (ASML),5,0,2025-03-14T19:54:38Z,,https://github.com/google/asml
asr-recipes,,17,10,2024-11-29T15:04:22Z,Shell,https://github.com/google/asr-recipes
assertor,Fluent assertion library for Rust with readable messages.,137,15,2025-06-12T06:00:00Z,Rust,https://github.com/google/assertor
asset-check,Check your .well-known/assetlinks.json file on the cli,23,7,2024-10-25T12:19:00Z,JavaScript,https://github.com/google/asset-check
asset-inventory-worksheet,,9,0,2024-09-10T08:00:55Z,Python,https://github.com/google/asset-inventory-worksheet
assetMG,,7,10,2024-10-25T11:33:43Z,TypeScript,https://github.com/google/assetMG
assortment-quality-for-shopping-ads,Assortment Quality is an open-source solution that gives you an overview of the product and brand coverage of your Google Merchant center account.,9,3,2025-03-02T15:11:27Z,Python,https://github.com/google/assortment-quality-for-shopping-ads
astc-codec,A software ASTC decoder implementation which supports the ASTC LDR profile,72,30,2025-04-25T03:48:08Z,C++,https://github.com/google/astc-codec
asylo,An open and flexible framework for developing enclave applications,975,127,2025-05-30T17:37:23Z,C++,https://github.com/google/asylo
asylo-examples,,22,14,2024-10-25T12:11:57Z,C++,https://github.com/google/asylo-examples
asylo-site,Asylo Website,22,22,2024-10-25T12:11:55Z,HTML,https://github.com/google/asylo-site
asymproj_edge_dnn,,25,16,2024-10-25T12:29:32Z,Python,https://github.com/google/asymproj_edge_dnn
atheris,,1491,118,2025-06-24T22:40:54Z,Python,https://github.com/google/atheris
atlassian-addons-audit-sheet,"This tool will synchronize the list of Enabled User-Installed plugins in JIRA, Confluence, and Bitbucket with a Google Sheet for documentation and auditing.",11,10,2024-10-25T12:25:41Z,Python,https://github.com/google/atlassian-addons-audit-sheet
attention-center,,119,7,2025-06-03T07:43:06Z,Python,https://github.com/google/attention-center
auction-insights-visualization,"Visualize auction insights over time, broken down by domain, with filtering, directly in Data Studio.",17,7,2024-10-25T12:11:53Z,JavaScript,https://github.com/google/auction-insights-visualization
audio-sync-kit,,110,21,2025-05-30T06:01:59Z,Python,https://github.com/google/audio-sync-kit
audio-to-tactile,Feeling sound with tactile interfaces.,100,16,2025-05-16T10:48:35Z,C,https://github.com/google/audio-to-tactile
audit-normalmap,,15,10,2025-05-15T17:58:15Z,C,https://github.com/google/audit-normalmap
aukera,Aukera is a tool for managing computer maintenance windows.,41,9,2025-05-16T15:48:12Z,Go,https://github.com/google/aukera
authenticode-rs,Rust tools for working with Authenticode,27,10,2025-05-29T16:59:45Z,Rust,https://github.com/google/authenticode-rs
auto,A collection of source code generators for Java.,10506,1208,2025-06-25T06:25:09Z,Java,https://github.com/google/auto
auto-arborist,,11,3,2025-06-13T17:37:00Z,Jupyter Notebook,https://github.com/google/auto-arborist
auto-common,,5,0,2023-03-29T17:01:31Z,,https://github.com/google/auto-common
auto-disposable,,14,1,2025-06-23T17:31:46Z,Dart,https://github.com/google/auto-disposable
auto-factory,,5,0,2023-03-29T17:01:32Z,,https://github.com/google/auto-factory
auto-service,,5,0,2023-03-29T17:01:32Z,,https://github.com/google/auto-service
autobidding-readiness-monitor,,9,3,2025-03-02T15:31:15Z,Python,https://github.com/google/autobidding-readiness-monitor
autobound,AutoBound automatically computes upper and lower bounds on functions.,359,19,2025-06-14T06:58:58Z,Python,https://github.com/google/autobound
autocjk,"AutoCJK is a tool for generating low-resolution predictions of uncommon CJK characters, given full-width images of their components.",13,5,2024-10-25T12:08:47Z,Python,https://github.com/google/autocjk
autocxx,Tool for safe ergonomic Rust/C++ interop driven from existing C++ headers,2442,160,2025-06-20T17:50:38Z,Rust,https://github.com/google/autocxx
autofdo,AutoFDO,560,117,2025-06-22T18:18:04Z,C++,https://github.com/google/autofdo
autol2,,7,3,2024-11-11T21:19:29Z,Python,https://github.com/google/autol2
automated-native-creatives,⚙️ Manage your Native Creatives efficiently and automated.,16,1,2024-10-25T11:31:28Z,TypeScript,https://github.com/google/automated-native-creatives
automation-inspector,,28,13,2024-10-25T12:23:12Z,JavaScript,https://github.com/google/automation-inspector
automl,Google Brain AutoML,6379,1463,2025-06-24T19:50:38Z,Jupyter Notebook,https://github.com/google/automl
automl-video-ondevice,,54,19,2024-10-25T12:15:58Z,Python,https://github.com/google/automl-video-ondevice
automotive-design-compose,"Automotive Design for Compose is an extension to Jetpack Compose that allows every screen, component, and overlay of your Android App to be defined in Figma, and lets you see the latest changes to your Figma design in your app, immediately!",144,27,2025-06-25T11:07:09Z,Rust,https://github.com/google/automotive-design-compose
automotive-design-compose-protos,,0,0,2025-05-14T23:11:45Z,,https://github.com/google/automotive-design-compose-protos
autoparse,A dynamically generated parsing system using JSON Schema.,145,33,2025-04-04T22:05:19Z,Ruby,https://github.com/google/autoparse
autopiper,,47,11,2025-03-06T01:34:39Z,C++,https://github.com/google/autopiper
avatar,,20,12,2025-05-09T15:34:57Z,Python,https://github.com/google/avatar
b-con,,6,6,2025-03-02T15:40:57Z,Python,https://github.com/google/b-con
baby-alligator,,3,0,2024-09-13T11:14:22Z,JavaScript,https://github.com/google/baby-alligator
backup-dr-custom-roles,,4,3,2024-02-02T20:54:50Z,Shell,https://github.com/google/backup-dr-custom-roles
badwolf,Temporal graph store abstraction layer.,985,66,2025-06-21T21:13:31Z,Go,https://github.com/google/badwolf
badwolf-drivers,,22,7,2025-05-12T15:07:12Z,Go,https://github.com/google/badwolf-drivers
balloon-learning-environment,The Balloon Learning Environment - flying stratospheric balloons with deep reinforcement learning.,124,14,2025-03-21T16:10:30Z,Python,https://github.com/google/balloon-learning-environment
bamboo-soy,An intellij plugin supporting Closure Template language (Soy),49,17,2025-01-31T06:57:16Z,Java,https://github.com/google/bamboo-soy
basis_universal,Basis Universal GPU Texture Codec - please make contributions upstream at BinomialLLC,10,6,2025-02-11T09:17:05Z,C++,https://github.com/google/basis_universal
battery-historian,"Battery Historian is a tool to analyze battery consumers using Android ""bugreport"" files.",5350,970,2025-06-16T05:11:44Z,Go,https://github.com/google/battery-historian
bayesnf,Bayesian Neural Field models for prediction in large-scale spatiotemporal datasets,129,13,2025-06-24T09:15:54Z,Python,https://github.com/google/bayesnf
bazel-common,Common functionality for Google's open-source libraries that are built with bazel.,90,42,2025-05-28T03:43:05Z,Starlark,https://github.com/google/bazel-common
bazel-to-cmake,,204,45,2025-05-26T21:15:17Z,Python,https://github.com/google/bazel-to-cmake
bazel_rules_install,Bazel rules for installing build results. Similar to `make install`.,43,15,2025-05-25T03:57:09Z,Starlark,https://github.com/google/bazel_rules_install
bband-adaband,,16,11,2024-11-20T03:45:37Z,MATLAB,https://github.com/google/bband-adaband
bbcpu,,16,11,2024-10-25T12:32:40Z,Verilog,https://github.com/google/bbcpu
bbr,,5765,675,2025-06-23T03:16:21Z,,https://github.com/google/bbr
beacon-platform,Code samples for Google's beacon platform,391,260,2025-05-13T15:37:42Z,,https://github.com/google/beacon-platform
beautiful-audio-editor,An experimental audio editor that runs on JavaScript and the Web Audio API.,93,25,2024-12-30T17:47:59Z,JavaScript,https://github.com/google/beautiful-audio-editor
BEGIN-dataset,A benchmark dataset for evaluating dialog system and natural language generation metrics.,37,5,2025-05-09T00:19:30Z,,https://github.com/google/BEGIN-dataset
belief-localization,"This repository includes code for the paper ""Does Localization Inform Editing? Surprising Differences in Where Knowledge Is Stored vs. Can Be Injected in Language Models.""",61,7,2025-05-03T10:02:39Z,,https://github.com/google/belief-localization
benchmark,A microbenchmark support library,9579,1690,2025-06-25T14:00:52Z,C++,https://github.com/google/benchmark
berrydb,,66,20,2024-10-31T07:22:13Z,C++,https://github.com/google/berrydb
best,Bam Error Stats Tool (best): analysis of error types in aligned reads.,132,12,2025-04-19T14:07:44Z,Rust,https://github.com/google/best
